game_name,The Witcher 3,Minecraft,God of War,Dark Souls III,Red Dead Redemption 2,Overwatch,Celeste,Hollow Knight,Stardew Valley,Cyberpunk 2077,Fortnite,League of Legends,Valorant,Among Us,Apex Legends,The Legend of Zelda: Breath of the Wild,Super Mario Odyssey,DOOM Eternal,Final Fantasy XV,Persona 5
The Witcher 3,1.0,0.29538059216727397,0.4997195577082199,1.0,0.6804343135371509,0.3982776790831806,0.32074443213276255,0.18584501376764528,0.4804606831065772,1.0,0.2941025095616929,0.10922388399010209,0.13324162087892663,0.06563912283294783,0.2941025095616929,0.26567716108746664,0.0,0.3982776790831806,0.8017973723008778,0.6209505704559656
Minecraft,0.29538059216727397,1.0000000000000002,0.4484984182692264,0.29538059216727397,0.5862567089215371,0.31697513212748024,0.25526916042212494,0.14790747985133687,0.2207550025728337,0.29538059216727397,0.23406579560757013,0.08692742997532762,0.10604229812777619,0.05223985858459371,0.23406579560757013,0.3246838299560366,0.0,0.31697513212748024,0.3683980546352192,0.14591351263342425
God of War,0.4997195577082199,0.4484984182692264,1.0000000000000002,0.4997195577082199,0.8805614439833537,0.12962641927818205,0.10439187136093686,0.10340694201451119,0.09027736759410424,0.4997195577082199,0.09572079284726234,0.0,0.0,0.0,0.09572079284726234,0.4328709159510093,0.0,0.12962641927818205,0.1506557324257409,0.19453298882119213
Dark Souls III,1.0,0.29538059216727397,0.4997195577082199,1.0,0.6804343135371509,0.3982776790831806,0.32074443213276255,0.18584501376764528,0.4804606831065772,1.0,0.2941025095616929,0.10922388399010209,0.13324162087892663,0.06563912283294783,0.2941025095616929,0.26567716108746664,0.0,0.3982776790831806,0.8017973723008778,0.6209505704559656
Red Dead Redemption 2,0.6804343135371509,0.5862567089215371,0.8805614439833537,0.6804343135371509,1.0000000000000002,0.3721196502010952,0.2996786216188256,0.17363910946259803,0.2591599971461072,0.6804343135371509,0.27478648372485004,0.10205029214181294,0.12449059527470513,0.06132808517999314,0.27478648372485004,0.3811694388082176,0.0,0.3721196502010952,0.4324886760217138,0.1712982495387865
Overwatch,0.3982776790831806,0.31697513212748024,0.12962641927818205,0.3982776790831806,0.3721196502010952,1.0,0.3441932593081859,0.19943168019946628,0.2976559476220417,0.3982776790831806,0.31560361208345367,0.11720897031594134,0.8315677592028903,0.07043783574285453,0.31560361208345367,0.0,0.0,1.0,0.49673108548642786,0.19674310601153028
Celeste,0.32074443213276255,0.25526916042212494,0.10439187136093686,0.32074443213276255,0.2996786216188256,0.3441932593081859,1.0,0.4248070406898584,0.47036452580005417,0.32074443213276255,0.2541646360141976,0.09439174374871472,0.11514797382417534,0.056725608319325896,0.2541646360141976,0.3017454602609475,0.8501830988174908,0.3441932593081859,0.4000317826090378,0.15844286317768966
Hollow Knight,0.18584501376764528,0.14790747985133687,0.10340694201451119,0.18584501376764528,0.17363910946259803,0.19943168019946628,0.4248070406898584,1.0000000000000002,0.3673701876300742,0.18584501376764528,0.14726749881586565,0.0935011648438021,0.11406156147116023,0.0561904065301523,0.14726749881586565,0.2988985148514322,0.3107554031766665,0.19943168019946628,0.23178551113772689,0.15694796684485304
Stardew Valley,0.4804606831065772,0.2207550025728337,0.09027736759410424,0.4804606831065772,0.2591599971461072,0.2976559476220417,0.47036452580005417,0.3673701876300742,1.0,0.4804606831065772,0.219799817512051,0.0816293264711021,0.09957917053426102,0.04905591333387323,0.219799817512051,0.45950329525049494,0.2712988046827371,0.2976559476220417,0.5992295556267828,0.46407227967429227
Cyberpunk 2077,1.0,0.29538059216727397,0.4997195577082199,1.0,0.6804343135371509,0.3982776790831806,0.32074443213276255,0.18584501376764528,0.4804606831065772,1.0,0.2941025095616929,0.10922388399010209,0.13324162087892663,0.06563912283294783,0.2941025095616929,0.26567716108746664,0.0,0.3982776790831806,0.8017973723008778,0.6209505704559656
